day,wt_diff_mean,wt_diff_std,hrv_mean,lf_hf_ratio,rr_full,rr_deep
1,-2.749,2.57,60.652,2.766,18.0,25.6
2,-2.64,2.802,54.355,2.524,20.0,20.0
3,-2.348,1.44,57.173,3.221,29.8,-1.0
4,-0.69,2.677,61.369,3.837,22.4,22.4
5,2.216,1.883,70.675,2.678,22.2,22.2
6,-0.137,2.34,76.849,2.408,22.6,22.6
7,-2.042,1.865,42.165,2.701,20.0,20.0
8,-1.501,1.555,56.946,1.997,20.4,20.4
9,-1.17,1.702,60.088,2.295,21.4,21.4
10,0.489,2.639,69.017,1.726,25.4,25.4
11,-0.178,2.07,63.117,1.919,19.0,19.6
12,-0.063,2.951,70.349,2.808,29.8,-1.0
13,-0.587,2.563,65.929,2.209,23.8,-1.0
14,-0.489,1.862,78.914,2.593,24.2,29.6
15,-0.528,1.657,70.056,3.448,10.6,10.1
16,-0.958,1.147,73.187,2.437,29.6,25.6
17,1.391,2.263,57.651,3.138,20.4,20.4
18,-0.61,2.196,78.537,1.922,9.9,9.4
19,0.506,2.107,84.018,2.294,19.4,19.4
20,0.253,2.002,59.074,2.38,21.8,21.8
21,-1.566,1.973,76.597,2.153,29.6,29.6
22,-0.966,2.175,71.837,3.914,22.0,22.0
23,-1.413,2.079,79.52,2.741,21.6,21.6
24,0.247,2.274,80.075,3.365,25.4,25.4
25,-0.97,1.635,79.619,1.432,18.6,18.6
26,-1.14,1.641,72.22,2.43,24.0,24.0
27,-1.178,1.955,78.515,2.148,22.2,22.2
28,-1.2,1.614,74.601,2.166,17.0,17.0
