day,wt_diff_mean,wt_diff_std,hrv_mean,lf_hf_ratio,rr_full,rr_deep
1,-1.476,1.889,44.057,2.144,14.2,14.2
2,-0.979,1.738,55.68,1.742,13.8,13.8
3,-1.144,1.82,52.986,1.869,14.2,14.2
4,-1.295,1.478,56.328,1.912,13.6,13.6
5,-1.276,1.399,41.797,1.921,14.2,14.2
6,-0.883,1.786,50.815,2.331,14.2,14.2
7,-1.01,1.686,48.057,2.078,13.6,13.6
8,-1.212,1.7,47.794,2.158,14.6,14.6
9,-1.617,1.545,49.197,2.419,14.6,14.6
10,-1.072,2.059,45.7,2.197,14.4,14.4
11,-0.856,1.566,45.728,1.817,14.6,14.6
12,-2.204,2.231,50.73,1.54,14.0,14.0
13,-0.894,1.98,45.146,1.909,14.2,14.2
14,-1.635,1.984,46.96,2.103,14.8,14.8
15,-1.279,1.657,37.129,1.915,14.6,14.6
16,-1.35,1.75,44.64,1.988,14.2,14.2
17,-1.594,1.357,52.16,1.713,14.4,14.4
18,-1.324,2.063,51.716,1.478,15.0,15.0
19,-1.377,1.937,50.573,1.793,14.8,14.8
20,-0.841,1.312,52.072,1.243,13.8,13.8
21,-1.426,2.247,54.628,1.771,13.6,13.6
22,-1.354,1.665,49.045,1.688,14.0,14.0
23,-1.017,1.713,62.972,1.474,14.8,14.8
24,-2.27,1.981,55.605,1.547,14.0,14.0
25,-1.891,1.844,48.649,1.46,13.8,13.8
26,-1.657,1.892,53.949,1.465,13.0,13.0
27,-1.477,1.87,52.783,1.797,14.2,14.2
28,-1.203,1.872,55.468,1.664,14.2,14.2
