day,wt_diff_mean,wt_diff_std,hrv_mean,lf_hf_ratio,rr_full,rr_deep
1,-2.755,2.159,80.51,0.624,16.8,16.8
2,-2.205,2.384,41.118,0.877,17.4,17.4
3,-2.66,2.267,59.188,0.71,18.6,18.6
4,-1.433,1.582,71.023,0.646,17.8,17.8
5,-2.326,2.222,81.686,0.731,17.6,17.6
6,-1.949,1.723,84.729,0.557,16.8,16.8
7,-2.301,2.274,95.6,0.818,16.6,16.6
8,-3.089,2.379,81.283,0.417,17.2,17.2
9,-1.063,1.795,38.26,0.774,16.8,16.8
10,-2.786,2.514,46.674,1.094,18.6,18.6
11,-2.918,2.308,70.229,0.525,0.0,-1.0
12,-2.817,2.229,72.023,0.772,17.0,17.0
13,-1.434,1.72,77.784,0.656,17.4,17.4
14,-3.246,2.202,50.41,0.853,18.0,18.0
15,-2.343,2.143,81.674,0.499,16.8,16.8
16,-1.45,1.964,40.765,0.716,17.4,17.4
17,-2.23,2.551,63.014,0.621,16.4,16.4
18,-1.755,2.191,31.829,0.856,16.2,16.2
19,-2.645,2.506,66.689,0.586,18.0,18.0
20,-2.695,2.23,64.633,0.625,18.8,18.8
21,-3.223,2.373,105.802,0.781,19.2,19.2
22,-2.935,2.019,59.051,0.854,18.6,18.6
23,-2.494,2.535,74.634,0.554,15.8,15.8
24,-0.91,1.621,87.301,0.485,16.6,16.6
25,-1.571,1.898,117.853,0.538,17.2,17.2
26,-2.526,2.018,82.254,0.734,17.0,17.0
27,-1.785,2.097,105.174,0.498,17.6,17.6
28,-2.279,2.097,84.763,0.607,17.4,17.4
