day,wt_diff_mean,wt_diff_std,hrv_mean,lf_hf_ratio,rr_full,rr_deep
1,0.184,1.082,62.585,2.06,17.6,17.6
2,-0.196,1.125,52.55,3.262,18.0,18.0
3,-0.617,1.813,49.384,3.928,19.4,19.4
4,-1.311,1.554,61.671,3.214,18.4,18.4
5,-1.179,1.365,60.005,1.87,17.6,17.6
6,-1.046,1.922,55.511,2.849,18.0,18.0
7,0.081,1.255,51.822,2.78,19.4,19.4
8,-0.442,1.299,65.905,2.87,17.8,17.8
9,-0.918,1.842,68.478,2.792,16.0,17.6
10,-0.906,1.942,55.594,3.168,18.2,18.2
11,-1.428,2.056,64.344,2.522,17.6,17.6
12,-0.752,1.688,58.638,2.929,18.4,18.4
13,-0.804,1.371,57.967,3.055,20.0,20.0
14,-0.701,1.316,66.707,2.803,17.6,17.6
15,-0.707,1.655,70.821,2.561,16.2,15.6
16,-2.021,2.437,81.85,1.482,0.0,-1.0
17,-0.113,1.234,80.419,2.165,0.0,-1.0
18,-0.641,1.552,68.14,2.453,16.4,16.4
19,-0.823,1.787,56.768,2.799,17.2,17.2
20,-0.54,1.435,54.761,2.631,18.0,18.0
21,-1.218,1.49,85.658,0.757,0.0,-1.0
22,-0.262,0.805,54.458,3.393,18.4,18.4
23,-0.143,1.507,63.846,2.688,15.2,15.0
24,-0.513,1.184,60.917,3.209,15.0,16.2
25,-1.367,1.73,65.758,2.603,18.3,18.3
26,-0.196,1.113,61.829,3.142,16.2,16.2
27,0.578,0.763,66.052,2.311,16.0,18.0
28,0.026,1.164,66.299,2.288,18.8,18.8
